co_acesso,codigo,dt_ini_operacao,ic_participa_compe,ispb,no_extenso,nome
RSFN,743.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,795423,Banco Semear S.A.,BANCO SEMEAR
RSFN,100.0,"time.struct_time(tm_year=2011, tm_mon=4, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=117, tm_isdst=-1)",Não,806535,Planner Corretora de Valores S.A.,PLANNER CV S.A.
RSFN,96.0,"time.struct_time(tm_year=2004, tm_mon=11, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=317, tm_isdst=-1)",Não,997185,Banco BMFBovespa de Serviços de Liquidação e Custódia S/A,BANCO BM&FBOVESPA
RSFN,747.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,1023570,Banco Rabobank International Brasil S.A.,BCO RABOBANK INTL BRASIL S.A.
RSFN,748.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,1181521,Banco Cooperativo Sicredi S. A.,BCO COOPERATIVO SICREDI S.A.
RSFN,752.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,1522368,Banco BNP Paribas Brasil S.A.,BCO BNP PARIBAS BRASIL S A
RSFN,91.0,"time.struct_time(tm_year=2010, tm_mon=11, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=326, tm_isdst=-1)",Não,1634601,Central de Cooperativas de Economia e Crédito Mútuo do Est RS - Unicred,CCCM UNICRED CENTRAL RS
RSFN,399.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,1701201,Kirton Bank S.A. - Banco Múltiplo,KIRTON BANK
RSFN,108.0,"time.struct_time(tm_year=2011, tm_mon=11, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=307, tm_isdst=-1)",Não,1800019,"PortoCred S.A. Crédito, Financiamento e Investimento",PORTOCRED S.A. - CFI
RSFN,756.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,2038232,Banco Cooperativo do Brasil S/A - Bancoob,BANCOOB
RSFN,757.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,2318507,Banco Keb Hana do Brasil S. A.,BCO KEB HANA DO BRASIL S.A.
RSFN,102.0,"time.struct_time(tm_year=2011, tm_mon=11, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=326, tm_isdst=-1)",Não,2332886,XP Investimentos Corretora de Câmbio Títulos e Valores Mobiliários S.A.,XP INVESTIMENTOS CCTVM S/A
RSFN,84.0,"time.struct_time(tm_year=2009, tm_mon=11, tm_mday=24, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=328, tm_isdst=-1)",Sim,2398976,Uniprime Norte do Paraná - Cooperativa de Crédito Ltda.,UNIPRIME NORTE DO PARANÁ - CC
RSFN,180.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=20, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=20, tm_isdst=-1)",Não,2685483,"CM Capital Markets Corretora de Câmbio, Títulos e Valores Mobiliários Ltda.",CM CAPITAL MARKETS CCTVM LTDA
RSFN,66.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,2801938,Banco Morgan Stanley S. A.,BCO MORGAN STANLEY S.A.
RSFN,15.0,"time.struct_time(tm_year=2011, tm_mon=3, tm_mday=15, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=74, tm_isdst=-1)",Não,2819125,"UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",UBS BRASIL CCTVM S.A.
Internet,143.0,"time.struct_time(tm_year=2015, tm_mon=8, tm_mday=24, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=236, tm_isdst=-1)",Não,2992317,Treviso Corretora de Câmbio S.A.,TREVISO CC S.A.
RSFN,,"time.struct_time(tm_year=2004, tm_mon=2, tm_mday=13, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=44, tm_isdst=-1)",Não,2992335,Câmara Interbancária de Pagamentos - CIP - LDL,CIP Siloc
RSFN,62.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,3012230,Hipercard Banco Múltiplo S.A.,HIPERCARD BM S.A.
RSFN,74.0,"time.struct_time(tm_year=2004, tm_mon=8, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=239, tm_isdst=-1)",Sim,3017677,Banco J. Safra S.A.,BCO. J.SAFRA S.A.
RSFN,99.0,"time.struct_time(tm_year=2011, tm_mon=1, tm_mday=11, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=11, tm_isdst=-1)",Sim,3046391,Uniprime Central – Central Interestadual de Cooperativas de Crédito Ltda.,UNIPRIME CENTRAL CCC LTDA.
RSFN,25.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,3323840,Banco Alfa S.A.,BCO ALFA S.A.
RSFN,75.0,"time.struct_time(tm_year=2005, tm_mon=11, tm_mday=11, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=315, tm_isdst=-1)",Não,3532415,Banco ABN Amro S.A.,BCO ABN AMRO S.A.
